Alcohol Notalcohol,Belted Unbelted,Bike Nonbike,Collision Type,CRASH_DT (copy),Crash Dt,Crash Event Type Dsc,Crash Military Tm,Crash Severity,Juris Name Used,Area Type Used,First Harmful Event of Entire Crash,Time Slicing Used,Phy_Juris_Nm,Offset-Ft,Intersection Analysis,Day Of Week,Deer Nodeer,TOTAL CRASH,Document Nbr,FAC,First Harmful Event,FUN,Gr Nogr,Hitrun Not Hitrun,Injury Crashes,Intersection Type,Int Doc,K_CRASH,K People,Lgtruck Nonlgtruck,Light Condition,MAINLINE (group),Mainline Yn,Motor Nonmotor,Node Info,Ownership,Total People Killed & Injured,Ped Nonped,Persons Injured,VSP_Used,Rd Type,Relation To Roadway,Rns Mp,Roadway Alignment,Roadway Description,Roadway Surface Cond,Rte Nm,School Zone,Senior Notsenior,Speed Notspeed,Time Slicing,Total Crashes including Property Damage Only,Traffic Control Type,District_Used ,Weather Condition,Work Zone Related,Young Notyoung
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/4/2011,1/4/2011,20. Motor Vehicle In Transport,610,B.Visiible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,6AM TO 9AM,134.Virginia Beach,"1,716",Intersection,Tuesday,Not DEER,1,111050057,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,2. Two Approaches,111050057,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541188.  SR00190       SR00190      13408749,PRI_URBAN,1,Not PED,1,5,NOT-RD,"15. Other Crossing (Crossing for Bikes, School, etc.)",13.95,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,R-VA   SR00190WB,3. No,Not SENIOR,Not SPEED,6AM TO 9AM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/6/2011,1/6/2011,22. Bicycle,1715,B.Visiible Injury,Virginia Beach,Urban,22. Bicycle,3PM TO 6PM,134.Virginia Beach,"2,101",Intersection,Thursday,Not DEER,1,111050063,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,HIT_RUN,1,4. Four Approaches,111050063,0,0,Not LRTRUCK,3. Dusk,MAINLINE,MAIN,Not MOTORCYCLE,541174.  SR00190       SR00190      13400010      13408640,PRI_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,11.53,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA   SR00190WB,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/6/2011,1/6/2011,20. Motor Vehicle In Transport,1930,C.Non-Visible Injury,Virginia Beach,Urban,20. Motor Vehicle In Transport,6PM TO 9PM,134.Virginia Beach,898,Intersection,Thursday,Not DEER,1,111050064,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,111050064,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,MAIN,Not MOTORCYCLE,541066.  US00058       US00058      13400009      13400009,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,0.75,2. Curve - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA134UR00009NB,3. No,SENIOR,Not SPEED,6PM TO 9PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/8/2011,1/8/2011,22. Bicycle,1624,C.Non-Visible Injury,Newport News,Urban,22. Bicycle,3PM TO 6PM,121.Newport News,,Not Intersection,Saturday,Not DEER,1,111640067,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,U-VA121SC99999UK,3. No,Not SENIOR,SPEED,3PM TO 6PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,1. Rear End,1/11/2011,1/11/2011,22. Bicycle,1330,C.Non-Visible Injury,Portsmouth,Urban,22. Bicycle,12PM TO 3PM,124.Portsmouth,655,Intersection,Tuesday,Not DEER,1,120585198,"0.Two-way, non-divided",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,HIT_RUN,1,1. Not at Intersection,120585198,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,483086.  US00017       US00017      12408540,PRI_URBAN,1,Not PED,1,5,NOT-RD,1. Main-Line Roadway,25.66,1. Straight - Level,"1. Two-Way, Not Divided",2. Wet,R-VA   US00017NB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,1. No Traffic Control,5.Hampton Roads,5. Rain,2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/15/2011,1/15/2011,22. Bicycle,1923,C.Non-Visible Injury,Virginia Beach,Urban,22. Bicycle,6PM TO 9PM,134.Virginia Beach,0,Intersection,Saturday,Not DEER,1,110820011,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,110820011,0,0,Not LRTRUCK,4. Darkness - Road Lighted,MAINLINE,,Not MOTORCYCLE,541275. 13400012      13400012      13400014      13408717,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,6.68,1. Straight - Level,"3. Two-Way, Divided, Positive Median Barrier",1. Dry,R-VA134UR08717EB,3. No,Not SENIOR,Not SPEED,6PM TO 9PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
ALCOHOL,Not UNBELTED,BIKE,2. Angle,1/23/2011,1/23/2011,22. Bicycle,1145,B.Visiible Injury,Chesapeake,Urban,22. Bicycle,9AM TO 12PM,131.Chesapeake,,Not Intersection,Sunday,Not DEER,1,110810052,,"8. Off Roadway, Location Unknown",,Not GUARDRAIL,Not HIT_RUN,1,3. Three Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,9. Within Intersection,,1. Straight - Level,5. Unknown,1. Dry,U-VA131SC99999UK,3. No,Not SENIOR,SPEED,9AM TO 12PM,1,11. Railroad Crossing With Signals,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/26/2011,1/26/2011,22. Bicycle,1005,C.Non-Visible Injury,Virginia Beach,Urban,22. Bicycle,9AM TO 12PM,134.Virginia Beach,0,Intersection,Wednesday,Not DEER,1,110870607,"1.Divided, no control of access",1. On Roadway,E.Urban Other Principle Arterials; Connecting Links of Other Rural Principal Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,110870607,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,541205.  SR00190       SR00225       SR00225      13408698,PRI_URBAN,1,Not PED,1,5,NOT-RD,10. Intersection Related - Within 150 Feet,2.14,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",2. Wet,R-VA   SR00225SB,3. No,Not SENIOR,SPEED,9AM TO 12PM,1,8. Yield Sign,5.Hampton Roads,5. Rain,2. No,YOUNG
Not ALCIHOL,Not UNBELTED,BIKE,2. Angle,1/28/2011,1/28/2011,22. Bicycle,1330,A.Ambulatory Injury,Virginia Beach,Urban,22. Bicycle,12PM TO 3PM,134.Virginia Beach,48,Intersection,Friday,Not DEER,1,110870780,"1.Divided, no control of access",1. On Roadway,H.Urban Minor Arterial,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,110870780,0,0,Not LRTRUCK,2. Daylight,MAINLINE,MAIN,Not MOTORCYCLE,542019. 13408723      13408723      13408724,SEC_URBAN,1,Not PED,1,5,NOT-RD,1. Main-Line Roadway,2.75,1. Straight - Level,"2. Two-Way, Divided, Unprotected Median",1. Dry,R-VA134UR08723NB,3. No,Not SENIOR,Not SPEED,12PM TO 3PM,1,3. Traffic Signal,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,YOUNG
ALCOHOL,Not UNBELTED,BIKE,2. Angle,1/28/2011,1/28/2011,22. Bicycle,1559,C.Non-Visible Injury,Norfolk,Urban,22. Bicycle,3PM TO 6PM,122.Norfolk,,Not Intersection,Friday,Not DEER,1,110950196,,1. On Roadway,,Not GUARDRAIL,Not HIT_RUN,1,4. Four Approaches,,0,0,Not LRTRUCK,2. Daylight,MAINLINE,,Not MOTORCYCLE,.,SEC_URBAN,1,Not PED,1,5,NOT-RD,1. Main-Line Roadway,,1. Straight - Level,"1. Two-Way, Not Divided",1. Dry,U-VA122SC99999UK,3. No,Not SENIOR,Not SPEED,3PM TO 6PM,1,4. Stop Sign,5.Hampton Roads,1. No Adverse Condition (Clear/Cloudy),2. No,Not YOUNG
